"Dance_Name","Country_Origin","Dance_Type","Music_Genre","Average_Duration_Minutes","Famous_Performer"
"Shag (Collegiate)","USA","Social","Swing","10","Arthur Murray"
"Shim Sham","USA","Social","Swing","10","Leonard Reed"
"Shuffle","USA","Social","House","10","LMFAO"
"Sirtaki","Greece","Folk","Folk","10","Mikis Theodorakis"
"Skip Jive","United Kingdom","Social","Swing","10","Jive Aces"
"Slängpolska","Sweden","Social","Folk","10","Väsen"
"Slow Dance","USA","Social","Various","10","Arthur Murray"
"Slow Foxtrot","United Kingdom","Social","Swing","10","Pierre Dulaine"
"Soca Dance","Trinidad and Tobago","Social","Soca","10","Machel Montano"
"Son","Cuba","Social","Son","10","Buena Vista Social Club"
"Sousta","Greece","Folk","Folk","10","Mikis Theodorakis"
"Square Dance","USA","Social","Country","10","Lloyd Shaw"
"Stanky Legg","USA","Social","Hip-Hop","5","GS Boyz"
"Step Dance","Ireland","Folk","Folk","10","Michael Flatley"
"Stiletto Dance","USA","Performance","Various","10","Beyoncé"
"Street Dance","USA","Street","Hip-Hop","10","Les Twins"
"Swing Dance","USA","Social","Swing","10","Frankie Manning"
"Sword Dance","Scotland","Folk","Folk","10","Ghillie Callum"
"Syrtos","Greece","Folk","Folk","10","Mikis Theodorakis"
"Tap Charleston","USA","Social","Swing","10","Bill Robinson"
"Tarantella","Italy","Folk","Folk","10","Alessandra Belloni"
"Tecktonik","France","Street","Electro","10","Yelle"
"Texas Tommy (dance)","USA","Social","Swing","10","Ethel Williams"
"The Twist","USA","Social","Rock n Roll","5","Chubby Checker"
"Tinikling","Philippines","Folk","Folk","10","Bayanihan Philippine Dance Company"
"Tinku","Bolivia","Folk","Folk","10","Ballet Folklórico de Bolivia"
"Tondero","Peru","Folk","Folk","10","Eva Ayllón"
"Tourdion","France","Social","Renaissance","10","Thoinot Arbeau"
"Traditional Dance","China","Folk","Traditional Chinese","10","Yang Liping"
"Tranky Doo","USA","Social","Swing","10","Frankie Manning"
"Trata","Greece","Folk","Folk","10","Mikis Theodorakis"
"Trepak","Russia","Folk","Folk","10","Igor Moiseyev"
"Tribal Style Belly Dance","USA","Performance","Middle Eastern Folk","15","FatChanceBellyDance"
"Troika (dance)","Russia","Folk","Folk","10","Igor Moiseyev"
"Twist (dance)","USA","Social","Rock n Roll","5","Chubby Checker"
"Two-step","USA","Social","Country","10","Brooks & Dunn"
"Universal Peace, Dances of","International","Sacred","Various","10","Samuel L. Lewis"
"Upa or Upa Habanera, claimed as the national dance of Cuba","Cuba","Folk","Habanera","10","Ignacio Cervantes"
"Vals","Austria","Social","Waltz","10","Johann Strauss II"
"Valse à deux temps","France","Social","Waltz","10","Émile Waldteufel"
"Verbunkos","Hungary","Folk","Folk","10","Béla Bartók"
"Vintage dance","International","Performance","Various","10","Richard Powers"
"Virginia Reel","USA","Social","Country","10","John Durang"
"Vogue","USA","Performance","House","10","Madonna"
"Waacking","USA","Street","Disco","10","Tyrone Proctor"
"Waltz","Germany","Social","Waltz","10","Johann Strauss II"
"West Coast Swing","USA","Social","Various","10","Dean Collins"
"Whip (dance)","USA","Social","Hip-Hop","5","Silento"
"Whirling","Turkey","Sacred","Sufi Music","30","Rumi"
"Xibelani Dance","South Africa","Folk","Tsonga Music","10","Sho Madjozi"
"Yablochko","Russia","Folk","Folk","10","Alexei Sergeev"
"Yakshagana","India","Theatrical","Kannada Music","180","Keremane Shambhu Hegde"
"Yosakoi","Japan","Folk","Modern Folk","10","Takemasa Ishikura"
"Zamacueca","Peru","Folk","Folk","10","Arturo Zambo Cavero"
"Zamba (art form)","Argentina","Folk","Folk","10","Mercedes Sosa"
"Zapateado","Spain","Performance","Flamenco","10","Sara Baras"
"Zapin","Malaysia","Folk","Ghazal","10","Zapin Heritage Group"
"Zeibekiko","Greece","Folk","Folk","10","Markos Vamvakaris"
"Zumba","Colombia","Fitness","Latin Pop","60","Beto Perez"
"Zydeco","USA","Social","Zydeco","10","Clifton Chenier"
"Zeybek dance","Turkey","Folk","Folk","10","Ahmet Özhan"
"Zapin","Malaysia","Folk","Ghazal","10","Zapin Heritage Group"
"Zouk","Guadeloupe","Social","Zouk","10","Kassav'"
"Zumba","Colombia","Fitness","Latin Pop","60","Beto Perez"
"Zwiefacher","Germany","Folk","Folk","10","Bairisch Diatonischer Jodelwahnsinn"
"Zambra","Spain","Folk","Flamenco","10","Carmen Amaya"
"Zonaradiko","Greece","Folk","Folk","10","Mikis Theodorakis"
"Zapateo","Peru","Folk","Folk","10","Félix Casaverde"
"Zajal","Lebanon","Folk","Folk","10","Zajal Lebanon Group"
"Zarzuela","Spain","Theatrical","Classical","120","Plácido Domingo"
"Zef","Albania","Folk","Folk","10","Saz'iso"
"Zumba","Colombia","Fitness","Latin Pop","60","Beto Perez"
"Zydeco","USA","Social","Zydeco","10","Clifton Chenier"
"Zapateado","Mexico","Folk","Mariachi","10","Amalia Hernández"
"Zajal","Lebanon","Folk","Folk","10","Zajal Lebanon Group"
"Zef","Albania","Folk","Folk","10","Saz'iso"
"Zumba","Colombia","Fitness","Latin Pop","60","Beto Perez"
"Zydeco","USA","Social","Zydeco","10","Clifton Chenier"
"Zapateado","Mexico","Folk","Mariachi","10","Amalia Hernández"
